Text,Buidling,Scores
Studio 1 Bathroom Condominium for Rent at Family Park is located in Soi Ladprao 48 on Ladprao Road with just 2.8 kilometers from MRT Sutthisan. This unit is on the 5th floor with fully-furnished with electric appliances such as sofa dining table chairs working table refrigerator electric stove microwave and air-conditioners. Family Park with 10 minutes by car to MRT Sutthisan. Family Park is close to shopping centers hospitals and educational institutions such as Tops Daily Diamond Square Ruethai Village Baantonmai Trilingual Kindergarten and Paolo Memorial Chok Chai 4 Hospital. Family Park is equipped with basic facilities such as swimming pool in the heart of the Condominium garden fitness elevator and car park as well as security system and Key Card Security guard CCTV 24 hours.,Family Park,[{"\n":-0.00076497206} {"Family":-0.19174032} {" Park":-0.00003023464}]
The BASE Garden Rama 9 only 700 metres from the Airport Link and 800 metres from the Expressway. The unit comes with the usable area of 26.50 Sq.m. Featuring premium and full facilities such as swimming pool fitness room 24 hours security service and lobby.,BASE Garden Rama 9,[{"\n":-0.0004346243} {"B":-0.2153855} {"ASE":-0.000011039229} {" Garden":-0.00012095904} {" R":-0.0000049586424} {"ama":0} {" 9":-0.000003051303}]
This one bedroom unit for sale within THE BASE Rama 9-Ramkhamhaeng condominium Located right on Rama 9- Ramkhamhaeng area so it is only 700 metres away from Airport Rail Link Ramkhamhaeng station and close to Rama 9 expressway and Raminthra-Artnarong expressway. Easily accessible to Foodland The Mall and Big C. This eye-catching unit comes in size 29 Sq.m. Offering full and premium facilities such as swimming pool fitness centre car park and 24 hour security service.,Answer: THE BASE Rama 9-Ramkhamhaeng,[{"\n":-0.00012643983} {"Answer":-0.47974938} {":":-0.000071958624} {" THE":-0.16828571} {" BASE":-0.000022245786} {" R":-0.0001371733} {"ama":0} {" 9":-0.00003357061} {"-":-0.0005688007} {"Ram":-0.002412922} {"k":-0.0000068669196} {"ham":-0.00000579217} {"ha":-0.000005197998} {"eng":-0.000009846204}]
Aspire Sukhumvit 48 15th floor Building S 27 SQ.M. 1 bed 1 bath Fully furnished Rent 14000 THB Property ID :IH000324,Aspire Sukhumvit 48,[{"\n":-0.0011275334} {"As":-0.016006978} {"pire":-4.277735e-7} {" Su":-0.000011039229} {"kh":-0.0000011430258} {"um":-0.000022365928} {"v":-4.277735e-7} {"it":-0.0000012622395} {" 48":-0.0000062699432}]
BL03200Bangkok Condo 1 Bed and 1 Bath for Rent at The Lofts Ekkamai on Sukhumvit Road near BTS Ekamai,The Lofts Ekkamai,[{"\n":-0.0025852525} {"The":-0.0016112322} {" Lo":-0.000036195077} {"fts":0} {" E":-0.0010487083} {"kk":-0.0000015006569} {"ama":-0.000012708151} {"i":-0.000003883893}]
Reference code: P22CR2011018 Project name : M Jatujak Bedroom : 1 Bathroom : 1 Area : 28 Selling price : Rent Price : 14000 ----------------------------- Incube Realty Co. Ltd. Mobile : Line-ID: incube168 Email : -----------------------,MJatujak,[{"\n":-0.0023843015} {"MJ":-0.13551532} {"at":-0.023780009} {"uj":-0.000008653179} {"ak":-0.000026893982}]
The Base Sukhumvit 77. With an atmosphere designed to promote total well-being of residents the project comes with indoor and outdoor sport facilitiesfutsal field street basketball court jogging track big swimming pool with outdoor bubble pool table tennis table and fitness with high quality equipment. You can also relax at chill-out terrace and communal garden. An exceptional and bright room is decorated in nice decor with white tone of wallpaper with wooden floor. Featuring fully furnished with furniture and fully equipped all electrical appliances.,Answer: The Base Sukhumvit 77,[{"\n":-0.00026254423} {"Answer":-0.3402231} {":":-0.00011237507} {" The":-0.06382604} {" Base":-0.000085429216} {" Su":-0.000015214344} {"kh":-4.277735e-7} {"um":-0.0000053162735} {"v":-0.0000016207987} {"it":-7.8540467e-7} {" 77":-0.0000023360508}]
Ideo Verve Sukhumvit Driving on Sukhumvit Road you have to turn left underneath BTS station On Nut to enter the premises so much closer to the BTS station is not possible. The 30 floor single tower Ideo Verve Sukhumvit was completed in 2009 and holds 490 units. Facilities at Ideo Verve are great and are offering a large swimming pool jacuzzi fitness keycard system parking and 24 hour security. Basically everything is close by easy walk to the BTS station and crossing the BTS station will bring you to the mall with the Tesco Lotus McDonalds KFC MK restaurant and many more shops. If you are more in the mood for some Thai food next door you will find On Nut night market with its food stalls and 2 beer gardens. If you want to know more about living around On Nut you can also read our online magazine about this area. You can find it here:,Ideo Verve Sukhumvit,[{"\n":-0.0016140387} {"Ide":-0.0818699} {"o":-0.0000069861335} {" V":-0.000014139594} {"erve":-0.000001022884} {" Su":-0.000016521892} {"kh":-0.0000018601542} {"um":-0.000004721163} {"v":-0.0000025744682} {"it":-6.827632e-8}]
The BASE Sukhumvit 77 The hi rise condominium where imitate a sport complex to this quality project of Sansiri is situated in the desirable area of Sukhumvit. Only 5 minutes walk to BTS Onnut station surrounded by all amenities such as big c extraHabito community mall and restaurants. This beautifully presented unit comes in size 30 Sq.m.,BASE Sukhumvit 77,[{"\n":-0.0002000066} {"B":-0.26326507} {"ASE":-0.000010920954} {" Su":-0.000019382902} {"kh":-9.055464e-7} {"um":-0.000002693682} {"v":-0.0000029311614} {"it":0} {" 77":-0.0000025744682}]
Life Sukhumvit 48 HF-6918 30 Sq.M. 1 bedroom 1 bathroom Fully furnished and ready to move in BTS Phrakanong Rent 16000 Please contact us for more details,Sukhumvit 48,[{"\n":-0.005179303} {"S":-0.88762426} {"uk":-0.0013630259} {"hum":-0.000040963423} {"v":-0.000001022884} {"it":0} {" 48":-0.00024608686}]
